#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
11,scheduled end time,31;5,DATE-TIME,,,This is the date and time that this operative procedure is scheduled to end.
12,in or to anes start,,COMPUTED,,,This is the number of minutes between the time anesthesia care began and time that the patient left the operating room.
13,anes start to op start,,COMPUTED,,,This is the number of minutes between the time that anesthesia care started and time that the operation began.
14,in or to op start time,,COMPUTED,,,This is the time between the time the patient enters the operating room to the operation start time.
15,date/time of dictation,31;6,DATE-TIME,,,This is the date and time that dictation of the operative summary was completed.
17,cancel date,30;1,DATE-TIME,,,This is the date and time that the operative procedure was canceled.
18,cancel reason,31;8,POINTER,,,This is the reason that this surgical case was cancelled.
20,diagnostic/therapeutic (y/n),31;9,BOOLEAN,,,This indicates if the anesthesia technique is an anesthesia diagnostic/ therapeutic procedure.
22,tubes and drains,3;1,FREE TEXT,,,This is the type and placement of tubes and drains during the operative process.
23,referring physician,18;0,MULTIPLE,,,This is information related to the referring physician.
24,lock case,LOCK;1,SET OF CODES,,,This indicates whether this case has been completed and locked. Locked cases can only be edited if unlocked by the Chief of Surgery or his or her designee.
25,discharged via,.7;4,POINTER,,,This is the code corresponding to the mode of transport used to move the patient from the care area.
26,principal procedure(+),OP;1,FREE TEXT,,,"This is the name of the principal procedure for this case. All cases must have a principal procedure. The principal procedure must be 3 to 135 characters in length. The procedure name must not contain a semicolon (;), an at-sign (@), an up- arrow (^) or control characters. If the procedure name is longer than 30 characters, it must contain at least one space in every 31 characters of length. If a comma is being used to separate information, a space should follow the comma. NSQIP Definition (2004): The most complex of all the procedures by the primary operating team during this trip to the operating room. Your answer must be at least 3 characters in length. Do not enter an additional procedure if it is covered by a single CPT code. (Note that a single CPT code can cover more than one procedure, e.g., cholecystectomy and common bile duct exploration have a single CPT code). Additional procedures requiring separate CPT codes and/or concurrent procedures will be entered separately below. An exploratory laparotomy should be entered as the principal operative procedure only when no other procedure eligible for assessment has been performed in that particular surgical case."
27,planned prin procedure code,OP;2,POINTER,,,"This is the Current Procedural Terminology (CPT) code corresponding with the planned principal procedure. A CPT modifier on the CPT code may be included by appending the modifier to the CPT code separated by a hyphen in the format ""XXXXX-YY"" where ""XXXXX"" is the five character CPT code and ""YY"" is the two character CPT modifier."
27.5,prin assoc diagnosis,PADX;0,MULTIPLE,,,This Surgery sub-file is used to store the Procedure/Diagnosis association data.
28,prin. procedure cpt modifier,OPMOD;0,MULTIPLE,,,
29,*procedure completed,OP;4,BOOLEAN,,,This indicates whether the principal operative procedure was completed. This field has been marked for deletion.
30,other scrubbed assistants,28;0,MULTIPLE,,,This is information about other persons in the operating room in addition to those already listed as scrubbed.
31,other persons in or,32;0,MULTIPLE,,,"This is information related to other persons, not scrubbed or otherwise identified, present in the operating room."
32,principal pre-op diagnosis,33;1,FREE TEXT,,,This is the preoperative diagnosis for which the surgical procedure is being performed.
32.5,prin pre-op icd diagnosis code,34;3,POINTER,,,This is the principal Pre-OP ICD diagnosis code. It should be entered for all cases.
33,principal diagnosis,33;2,FREE TEXT,,,This is the principal diagnosis for which the non-OR procedure is being performed.
34,principal post-op diag,34;1,FREE TEXT,,,This is the principal postoperative diagnosis.
35,concurrent case,CON;1,POINTER,,,"NSQIP Definition (2004): An additional operative procedure performed by a different surgical team (i.e., a different specialty/service) under the same anesthetic which has a CPT code different from that of the Principal Operative Procedure (e.g., fixation of a femur fracture in a patient undergoing a laparotomy for trauma). This field should be verified and, if need be, edited postoperatively by the Nurse Reviewer in accordance with the official operating room log."
36,requested,REQ;1,NUMERIC,,,This indicates whether this case was requested.
37,estimated case length,.4;1,FREE TEXT,,,"This is the amount of time estimated to perform this operative procedure. Your answer should be in the format of ""HOURS:MINUTES"". For example, if the procedure will last 2 and 1/2 hours, your answer would be 2:30."
38,request blood availability,0;6,BOOLEAN,,,"This determines whether blood will be requested for this surgical procedure. Enter 'YES' if blood will be requested. Otherwise, enter 'NO'."
39,date of transcription,31;7,DATE-TIME,,,This is the date and time that transcription of the operative summary was completed.
40,"crossmatch, screen, autologous",0;13,SET OF CODES,,,"This determines whether the requested blood will be typed and crossmatched, screened, or autologous."
41,dressing,35;1,FREE TEXT,,,"These are the dressing(s) used for this case. Although optional, this information may be useful in documentation of this case."
42,delay cause,17;0,MULTIPLE,,,This is information related to the reason why this case did not begin at its scheduled start time.
43,case verification,VER;1,BOOLEAN,,,"This indicates whether the principal operative procedure, CPT code, perioperative occurrences and diagnosis were verified by the surgeon."
44,sponge count correct (y/n),25;1,SET OF CODES,,,"This indicates whether the final sponge count was correct. If entered, this information will appear on the Nurse Intraoperative Report."
